Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
403,Business Administration & Accounting,Bachelors,50300,81300,53
403,Industrial Arts,Bachelors,46500,81300,65
405,Textile Design,Bachelors,47400,81200,40
406,Textile & Apparel Studies,Bachelors,43800,81100,28
407,Accounting & Management,Bachelors,49700,81000,53
408,Nursing Science,Bachelors,63700,80900,84
409,Business Management,Bachelors,48800,80800,50
409,Linguistics,Bachelors,49300,80800,45
411,Agronomy,Bachelors,49100,80700,64
411,Corporate Communications,Bachelors,45300,80700,41
411,Neuroscience,Bachelors,47800,80700,59
414,Communication Studies & Journalism,Bachelors,42500,80600,49
415,Sociology & Organizational Studies,Bachelors,48200,80500,54
416,Nursing,Bachelors,61700,80400,84
417,Toxicology,Bachelors,43800,80300,-
417,History,Bachelors,45300,80300,46
417,Agricultural Science,Bachelors,46900,80300,57
420,Biology,Bachelors,44500,80200,65
420,Crop Science,Bachelors,45200,80200,67
420,French Language,Bachelors,46600,80200,48
423,Environmental Studies,Bachelors,45900,80100,59
423,Management (MGT),Bachelors,44800,80100,57
425,Communication,Bachelors,45300,79900,45
426,General & Strategic Management,Bachelors,48900,79800,53
426,Merchandising Management,Bachelors,44200,79800,35
428,Dental Hygiene,Bachelors,70400,79600,79
428,Hydrology,Bachelors,45300,79600,-
430,Global Business,Bachelors,53200,79500,37
430,Retail & Consumer Science,Bachelors,48500,79500,34
430,Literature,Bachelors,44400,79500,44
433,Emergency Management,Bachelors,49600,79400,78
433,Interpersonal & Organizational Communication,Bachelors,40300,79400,56
433,Nuclear Medicine,Bachelors,57800,79400,84
436,History & Political Science,Bachelors,48400,79300,51
437,Retail Merchandising,Bachelors,48000,79200,33
438,Agriculture,Bachelors,45300,79100,61
438,Environmental Management,Bachelors,47300,79100,61
438,Professional & Technical Writing,Bachelors,46000,79100,46
441,International Development Studies,Bachelors,45500,79000,64
441,Workforce Education & Development,Bachelors,57100,79000,74
441,Journalism & Mass Communication,Bachelors,43700,79000,45
444,Pre-Medicine,Bachelors,48400,78900,65
445,Bachelor in Science Nursing,Bachelors,61000,78800,81
445,Network Technology,Bachelors,54900,78800,57
447,Theatre & Drama Studies,Bachelors,41500,78600,49
448,Law,Bachelors,51900,78500,51
449,Law Enforcement,Bachelors,43800,78400,57
449,Printing Technology,Bachelors,43800,78400,-
449,Public Relations & Communication,Bachelors,43600,78400,46
452,Foreign Languages,Bachelors,47800,78300,57
452,Interior Architecture,Bachelors,45100,78300,47
452,Marine Science,Bachelors,44000,78300,58
452,Public Management,Bachelors,47800,78300,60
452,Web Development,Bachelors,54100,78300,53
457,Journalism,Bachelors,43500,78200,45
457,Landscape Architecture,Bachelors,49000,78200,67
457,Environmental Geography,Bachelors,47100,78200,52
460,Bachelor of Science in Nursing,Bachelors,60700,78100,83
461,Digital Media,Bachelors,44500,78000,39
461,Welding Technology,Bachelors,46100,78000,-
463,Nutrition Science,Bachelors,45900,77800,67
464,Accounting & Business,Bachelors,49400,77600,49
464,Diagnostic Medical Sonography,Bachelors,62200,77600,85
466,American History (United States),Bachelors,47800,77500,55
466,Strategic Communication,Bachelors,44600,77500,42
468,Public Relations (PR),Bachelors,43000,77400,43
469,Natural Sciences,Bachelors,41700,77300,51
470,International Affairs,Bachelors,49100,77200,53
470,Drama,Bachelors,43900,77200,46
470,Network Administration,Bachelors,46900,77200,55
473,Media Studies,Bachelors,48300,77100,36
474,Organizational Development,Bachelors,51600,77000,52
474,Writing,Bachelors,41800,77000,43
476,Integrated Marketing Communications,Bachelors,44600,76900,34
477,Crisis & Emergency Management,Bachelors,46600,76800,77
477,Organizational Communication,Bachelors,44000,76800,49
477,Retailing,Bachelors,48900,76800,27
477,Speech Communication,Bachelors,43900,76800,55
481,Allied Health,Bachelors,41800,76700,79
481,Environmental Biology,Bachelors,43000,76700,66
481,Nuclear Medicine Technology,Bachelors,58900,76700,81
484,Apparel & Textile Manufacture,Bachelors,45700,76600,36
485,Technology Management,Bachelors,53900,76500,45
486,Film Production,Bachelors,42700,76400,32
486,Security Management,Bachelors,44800,76400,-
488,Acting,Bachelors,42200,76200,48
488,Broadcast & Cinematic Arts,Bachelors,41900,76200,41
488,Business Management & Administration,Bachelors,48600,76200,53
488,Marine Biology,Bachelors,40800,76200,61
488,Professional Studies,Bachelors,42100,76200,64
488,Romance Languages,Bachelors,50300,76200,54
494,Computer Animation,Bachelors,44500,76100,31
495,Cytotechnology,Bachelors,58100,76000,90
495,Broadcast Journalism,Bachelors,41100,76000,49
495,Geography,Bachelors,46900,76000,52
498,Journalism & Electronic Media,Bachelors,42100,75900,50
499,Automotive Technology,Bachelors,45800,75800,46
499,Interpersonal Communications,Bachelors,43100,75800,48
501,Law & Society,Bachelors,44400,75700,50
502,Agricultural Business,Bachelors,50300,75600,50
502,Ancient History,Bachelors,43900,75600,-
504,Computer Aided Design (CAD),Bachelors,46500,75500,-
504,Computer Art,Bachelors,41200,75500,30
506,Administration,Bachelors,43100,75400,56
506,Forestry,Bachelors,44700,75400,66
508,Urban Studies,Bachelors,48600,75300,56
509,Business Law,Bachelors,51100,75100,44
510,Radio/Television & Film Production,Bachelors,42800,75000,39
511,Digital Design,Bachelors,48200,74800,38
511,Forensic Science,Bachelors,43800,74800,62
511,Geosciences,Bachelors,46600,74800,63
511,Logistics Management,Bachelors,52800,74800,47
515,Ecology,Bachelors,43500,74700,53
515,English & History,Bachelors,43600,74700,48
515,English Language & Literature,Bachelors,43900,74700,44
518,American Sign Language Interpreting,Bachelors,42500,74600,85
518,Homeland Security,Bachelors,46800,74600,71
518,Zoology,Bachelors,40300,74600,67
521,English Language,Bachelors,42100,74500,47
522,Human Resources Management (HRM),Bachelors,45300,74400,55
523,Technical Writing,Bachelors,52000,74300,45
523,Automotive Technology & Service Management,Bachelors,45400,74300,36
525,Business Technology,Bachelors,49800,74100,45
525,Mass Communication,Bachelors,42700,74100,44
527,Health Sciences,Bachelors,42400,74000,70
527,Organizational Leadership,Bachelors,47400,74000,56
529,Musicology,Bachelors,38100,73900,-
530,Spanish Language,Bachelors,44900,73600,53
531,Historic Preservation,Bachelors,41300,73500,52
531,Music Technology,Bachelors,42900,73500,38
531,Organizational Leadership & Supervision,Bachelors,46400,73500,50
534,Human Nutrition,Bachelors,45500,73400,84
534,Spanish Language Teacher Education,Bachelors,43900,73400,-
536,Botany,Bachelors,40300,73300,72
537,Apparel Merchandising,Bachelors,45400,73200,35
538,Environmental Health Science,Bachelors,51400,73100,64
538,Media & Technology,Bachelors,41400,73100,48
538,Public Administration,Bachelors,44200,73100,58
541,Liberal Arts,Bachelors,42500,73000,53
541,Merchandising,Bachelors,50500,73000,30
543,Environmental Resource Management,Bachelors,45700,72900,62
544,Computer Aided Drafting & Design (CADD),Bachelors,46800,72800,54
544,Forestry Management,Bachelors,44300,72800,73
546,German Language & Literature,Bachelors,46100,72700,48
546,Electronics & Computer Technology,Bachelors,51700,72700,-
548,Administrative Management,Bachelors,50100,72600,50
548,Cardiopulmonary Science,Bachelors,45800,72600,89
550,3D Animation,Bachelors,49400,72500,44
551,Ethnic Studies,Bachelors,44900,72300,62
552,Adult Education & Training,Bachelors,46200,72200,79
552,Health Administration,Bachelors,40700,72200,69
554,Agricultural Communication,Bachelors,42600,72100,51
554,Organizational Management,Bachelors,46900,72100,57
556,Multimedia,Bachelors,42800,72000,42
557,Communication Design,Bachelors,48700,71900,34
558,Radiologic Science,Bachelors,54900,71800,81
559,Exercise Physiology,Bachelors,41600,71700,78
560,Criminal Justice Administration,Bachelors,43700,71600,55
561,Natural Resource Management,Bachelors,43800,71500,60
562,Diagnostic Medical Imaging,Bachelors,57900,71400,74
562,Earth Science,Bachelors,48200,71400,50
562,Hotel & Restaurant Management,Bachelors,44600,71400,48
565,Radiology,Bachelors,51600,71300,84
566,Art History,Bachelors,44400,71200,46
566,Hospital Management,Bachelors,48500,71200,34
566,Retail Management,Bachelors,45700,71200,37
569,English & Psychology,Bachelors,41100,71100,47
569,Human Resources (HR),Bachelors,44800,71100,54
569,Management & Organization,Bachelors,53900,71100,68
569,Painting & Printmaking,Bachelors,32800,71100,41
569,Visual Effects & Motion Graphics,Bachelors,47400,71100,43
574,Medical Laboratory Technology,Bachelors,54100,71000,82
574,Fashion Merchandising,Bachelors,44100,71000,30
576,Multimedia & Web Design,Bachelors,47500,70900,34
577,Advertising & Graphic Design,Bachelors,44600,70800,37
577,Anthropology,Bachelors,43500,70800,46
577,Broadcast Communication,Bachelors,37900,70800,48
577,Communication Management,Bachelors,42500,70800,37
577,Health Care Administration,Bachelors,43600,70800,70
582,Natural Resources,Bachelors,44900,70700,66
582,Psychology,Bachelors,42000,70700,56
582,Visual Communications,Bachelors,43000,70700,37
585,Applied Behavior Analysis,Bachelors,36900,70600,-
585,Travel Industry Management,Bachelors,51800,70600,-
587,Humanities,Bachelors,43800,70500,48
587,Sociology & Anthropology,Bachelors,41900,70500,48
587,Communication Arts,Bachelors,40400,70500,41
590,Creative Writing,Bachelors,42800,70400,43
591,Anthropology & English,Bachelors,44900,70300,58
591,Modern Languages,Bachelors,48600,70300,52
593,Health Care Management,Bachelors,44000,70200,71
593,Health Teacher Education,Bachelors,35500,70200,52
593,Radiologic Technology,Bachelors,52100,70200,82
596,Health & Fitness,Bachelors,38000,70100,67
597,Animal Science & Management,Bachelors,42100,70000,54
597,Criminology,Bachelors,42400,70000,54
597,Hospitality Management,Bachelors,43600,70000,43
597,Art Administration,Bachelors,36800,70000,58
597,Human Relations,Bachelors,41100,70000,62
602,Health Information Management,Bachelors,46200,69900,69
602,Medical Laboratory Science,Bachelors,53000,69900,84
604,Liberal Studies,Bachelors,42300,69800,57
604,Secondary & Middle School Mathematics Teacher Education,Bachelors,43100,69800,71
606,Fashion Design & Marketing,Bachelors,42200,69700,39
607,Art & Design,Bachelors,42400,69600,39
607,Physical Anthropology,Bachelors,49300,69600,39
607,Sports Management,Bachelors,42900,69600,43
610,Life Sciences,Bachelors,51900,69400,59
611,Respiratory Care,Bachelors,52300,69200,84
612,Audio Engineering,Bachelors,45900,69100,37
612,Social & Criminal Justice,Bachelors,42300,69100,58
614,Child Psychology,Bachelors,37100,68900,64
614,Interior Design,Bachelors,42400,68900,50
614,Small Business Management,Bachelors,43900,68900,40
614,Turfgrass Management,Bachelors,47700,68900,49
618,Medical Technology,Bachelors,53300,68800,80
618,Religious Studies,Bachelors,41000,68800,57
620,Hotel & Restaurant Tourism,Bachelors,42500,68700,46
621,Sociology,Bachelors,43700,68600,54
622,Arts & Science,Bachelors,43900,68500,68
622,Secondary Education,Bachelors,42700,68500,62
622,Speech Pathology & Audiology,Bachelors,41500,68500,77
625,Theater,Bachelors,42400,68400,48
626,Archaeology,Bachelors,43900,68300,45
626,Illustration,Bachelors,42900,68300,36
626,Radiography,Bachelors,52700,68300,82
629,Media Arts,Bachelors,44000,68200,39
630,Clinical Laboratory Science,Bachelors,52400,68100,83
630,Graphics Technology & Management,Bachelors,38800,68100,36
630,Psychology & Social Behavior,Bachelors,44100,68100,56
633,Health Management,Bachelors,42000,68000,68
633,Media Communication,Bachelors,44300,68000,42
635,Mass Media,Bachelors,38100,67900,46
635,Nutrition,Bachelors,45100,67900,68
637,Performing Arts,Bachelors,42900,67800,52
638,SocialStudies,Bachelors,43700,67700,57
639,Italian Language,Bachelors,47800,67600,40
640,Social Studies,Bachelors,44100,67500,61
641,Commercial Photography,Bachelors,42000,67300,23
642,Radio & Television,Bachelors,40800,67200,40
642,Respiratory Therapy,Bachelors,52300,67200,82
644,Art Therapy,Bachelors,39200,67100,81
644,Biological Anthropology,Bachelors,41900,67100,44
646,Drafting & Design,Bachelors,48900,66800,59
646,Geomatics,Bachelors,49000,66800,65
648,Clinical Nutrition,Bachelors,47600,66700,73
648,Horticulture & Agronomy,Bachelors,46400,66700,58
650,Graphic Communication,Bachelors,44700,66600,29
650,Plant Sciences,Bachelors,45800,66600,60
650,Kinesiology,Bachelors,42100,66600,66
650,Fire Science,Bachelors,47200,66600,71
654,Fashion Marketing & Management,Bachelors,45200,66500,30
654,Music,Bachelors,41800,66500,54
654,Nutrition & Dietetics,Bachelors,48500,66500,72
657,Health,Bachelors,41900,66400,73
657,Legal Studies,Bachelors,44400,66400,49
659,Criminal Justice,Bachelors,40600,66300,56
659,Wildlife & Fisheries Science,Bachelors,38300,66300,59
661,Forensic Psychology,Bachelors,40800,66200,52
662,Graphic Design,Bachelors,42600,65800,37
663,Dramatic Art,Bachelors,38900,65700,-
664,Hospitality & Tourism,Bachelors,41500,65600,41
664,Religion,Bachelors,41100,65600,62
664,Pre-Veterinary Medicine,Bachelors,37600,65600,72
667,Sports Medicine,Bachelors,45700,65400,74
667,Women's Studies,Bachelors,42700,65400,59
669,Fine Arts,Bachelors,40400,65300,45
669,Public Health (PH),Bachelors,43400,65300,70
671,Modern Language Spanish,Bachelors,41100,65200,51
671,Museum Studies,Bachelors,37600,65200,47
673,Business Leadership,Bachelors,47700,65100,46
673,Dietetics,Bachelors,48700,65100,75
673,Forensic Accounting,Bachelors,44200,65100,39
673,Landscape Management,Bachelors,49300,65100,-
673,Speech-Language Pathology,Bachelors,41700,65100,70
678,Animal Science,Bachelors,39000,64900,64
678,Family & Consumer Science,Bachelors,40500,64900,57
680,Drawing & Painting,Bachelors,40600,64500,48
680,Music Industry,Bachelors,44400,64500,38
680,Technical Theatre,Bachelors,39100,64500,41
683,Foods & Nutrition,Bachelors,45000,64400,70
683,Physical Therapist Assistant Studies,Bachelors,49100,64400,85
683,Recreation Management,Bachelors,40300,64400,58
686,Interdisciplinary Studies (IS),Bachelors,42200,64200,56
687,Education,Bachelors,41800,64100,67
688,Applied Linguistics,Bachelors,44100,64000,40
689,Applied Sociology,Bachelors,40100,63800,57
689,Business & Healthcare Management,Bachelors,44700,63800,67
691,Music Composition,Bachelors,42300,63700,51
691,Physical Education & Exercise Science,Bachelors,41000,63700,78
693,Behavioral Science,Bachelors,40400,63500,61
694,Psychology & Sociology,Bachelors,40600,63400,52
695,General Studies,Bachelors,41200,63300,53
696,Culinary Arts & Culinary Management,Bachelors,36100,63200,51
696,Theatre Arts,Bachelors,40900,63200,49
698,Technology Teacher Education,Bachelors,46400,63100,47
699,Art,Bachelors,40600,63000,46
699,Textiles & Clothing,Bachelors,42900,63000,46
701,Video Production,Bachelors,42800,62800,38
702,Training and Development,Bachelors,50200,62500,-
703,Theology,Bachelors,39300,62300,69
703,Restaurant & Food Service Management,Bachelors,41500,62300,45
705,Missions,Bachelors,41400,62200,-
706,Event Management,Bachelors,39500,62100,42
707,Clinical Psychology,Bachelors,40900,62000,66
707,Developmental Psychology,Bachelors,31000,62000,-
707,Physical Education Teaching,Bachelors,39600,62000,71
707,Theatre,Bachelors,39700,62000,48
711,Sports Administration,Bachelors,41200,61900,53
712,Drawing,Bachelors,36400,61800,35
712,Health & Exercise Science,Bachelors,40100,61800,67
714,Agricultural Teacher Education,Bachelors,51000,61700,53
715,Graphic Arts,Bachelors,41100,61600,39
715,New Media,Bachelors,44700,61600,32
717,Health Services Administration,Bachelors,40800,61500,64
718,Interior Design & Merchandising,Bachelors,40800,61400,38
719,Exercise Science,Bachelors,38900,61300,73
720,Electronic Media,Bachelors,43700,61200,38
720,Exercise & Sports Science,Bachelors,40400,61200,70
720,Psychiatry,Bachelors,54700,61200,-
720,Supervision & Management,Bachelors,39400,61200,57
724,African American & African Studies,Bachelors,43600,61100,61
725,Culture Studies,Bachelors,44800,61000,41
725,Printmaking,Bachelors,36800,61000,41
725,Secondary English Teacher Education,Bachelors,40000,61000,67
728,Community Health Education,Bachelors,40200,60900,75
728,Culinary Arts,Bachelors,36700,60900,46
730,Wildlife Management,Bachelors,37800,60800,49
730,Psychology & Philosophy,Bachelors,45400,60800,40
732,Mortuary Science,Bachelors,40600,60700,81
733,Paralegal Studies,Bachelors,37700,60600,51
734,Health Studies,Bachelors,40600,60500,65
734,Social Psychology,Bachelors,44400,60500,55
736,Health Services Management,Bachelors,39300,60400,83
737,Emergency Medical Services (EMS),Bachelors,41600,60300,-
737,Recording Arts,Bachelors,40500,60300,44
739,English Teacher Education,Bachelors,41300,60200,56
739,Social Science Teacher Education,Bachelors,42100,60200,-
739,Social Studies Teacher Education,Bachelors,42400,60200,65
742,Music Teacher Education,Bachelors,39100,60000,66
742,Photography,Bachelors,41500,60000,38
744,Teaching English as a Second Language (ESL),Bachelors,41600,59900,75
744,Health & Physical Education Teaching,Bachelors,37000,59900,64
746,Human Development,Bachelors,40700,59700,65
746,Painting,Bachelors,38700,59700,44
746,Radio Broadcasting,Bachelors,43200,59700,-
746,Recreational Studies,Bachelors,40500,59700,68
750,Speech Pathology,Bachelors,40500,59500,70
751,Recreation Administration,Bachelors,45000,59400,70
752,Dance,Bachelors,42600,59200,61
753,Recreation & Leisure Studies,Bachelors,38800,59100,63
754,Arts Management,Bachelors,37400,59000,44
754,University Studies,Bachelors,40000,59000,51
754,Photojournalism,Bachelors,39700,59000,66
757,Organizational Administration,Bachelors,42900,58900,-
758,Health & Medical Services Administration,Bachelors,37900,58800,83
758,Tourism Management,Bachelors,40600,58800,38
758,Communicative Disorders,Bachelors,45200,58800,73
761,Sculpture,Bachelors,38400,58700,44
762,Consumer Affairs,Bachelors,49200,58600,48
762,Social Services,Bachelors,38000,58600,80
764,Community Health,Bachelors,42900,58500,69
764,Justice Studies,Bachelors,43300,58500,50
764,Landscape Design,Bachelors,48900,58500,65
767,Horticulture,Bachelors,41300,57800,60
767,Wildlife Biology,Bachelors,41000,57800,59
769,Gender Studies,Bachelors,43100,57700,55
770,Nonprofit Management,Bachelors,40400,57200,77
771,Athletic Training,Bachelors,39700,57000,76
772,Human Development & Family Studies,Bachelors,38300,56800,66
773,Biblical Studies,Bachelors,38700,56700,73
773,Health Promotion,Bachelors,40000,56700,69
775,Home Economics,Bachelors,38200,56500,65
775,Theatre Studies,Bachelors,43100,56500,51
777,Teaching,Bachelors,39600,56400,72
778,Counseling Psychology,Bachelors,39200,56200,65
778,Health & Human Performance,Bachelors,36200,56200,69
780,Library & Information Science,Bachelors,44700,56000,54
781,Art Teacher Education,Bachelors,37500,55900,62
781,Hospitality & The Culinary Arts,Bachelors,37400,55900,-
781,Musical Theatre,Bachelors,41800,55900,46
784,Clinical Social Work (CSW),Bachelors,41700,55800,-
785,Biblical Studies & Practical Ministries,Bachelors,35100,55700,78
785,Rehabilitation Services,Bachelors,34100,55700,79
787,Parks & Recreation Management,Bachelors,40600,55600,57
787,Pastoral Ministry,Bachelors,37300,55600,84
789,Legal Assistant Studies,Bachelors,36400,55500,39
790,Applied Management,Bachelors,43600,55400,-
791,Social Welfare,Bachelors,44900,55300,71
791,Tourism & Travel,Bachelors,40600,55300,40
791,Vocal Performance,Bachelors,38900,55300,65
794,Audio Production,Bachelors,43700,54700,37
794,Bible Studies & Theology,Bachelors,38100,54700,66
796,Church Ministries,Bachelors,38100,54600,82
797,Family Studies,Bachelors,35900,54500,71
797,Special Education,Bachelors,39200,54500,78
799,Ceramics,Bachelors,39900,54400,48
799,Communication Sciences & Disorders,Bachelors,40900,54400,76
799,Family & Community Services,Bachelors,38500,54400,74
802,Speech & Hearing,Bachelors,41400,54300,79
803,Community Development,Bachelors,42100,53900,65
804,Health and Human Services,Bachelors,41500,53700,66
805,Office Management,Bachelors,37800,53400,50
806,Psychology & Human Services,Bachelors,35000,53300,78
807,History Teacher Education,Bachelors,45400,53000,45
808,Youth Ministry,Bachelors,35300,52300,82
808,Therapeutic Recreation,Bachelors,37700,52300,82
810,Community & Human Services,Bachelors,40500,52100,78
811,Christian Ministry,Bachelors,35500,52000,80
812,Elementary Education,Bachelors,37700,51600,71
812,Social Work (SW),Bachelors,36600,51600,77
814,Office Administration,Bachelors,38200,51200,61
815,Voice & Opera,Bachelors,32900,50800,61
816,Elementary Teaching,Bachelors,34400,50700,76
816,Human Services (HS),Bachelors,36600,50700,70
818,Baking & Pastry Arts,Bachelors,36000,50600,47
819,Human Services Management,Bachelors,43500,50500,-
820,Counseling,Bachelors,37100,49300,78
821,Recreational Therapy,Bachelors,36400,49200,82
822,Child Development,Bachelors,35500,49100,76
823,Middle School Education,Bachelors,39000,48300,73
824,Educational Psychology,Bachelors,34600,47600,-
825,Early Childhood & Elementary Education,Bachelors,36200,46500,78
826,Rehabilitation Counseling,Bachelors,38000,46100,-
827,Addiction Studies,Bachelors,36300,44800,83
828,Outdoor Education,Bachelors,35800,44200,57
829,Child & Family Studies,Bachelors,34100,43600,74
830,Early Childhood Education,Bachelors,34100,43300,78
831,Mental Health,Bachelors,35200,42500,-
832,Medical Assisting,Bachelors,35100,42300,-
833,Addictions Counseling,Bachelors,38800,42200,-
834,Metalsmithing,Bachelors,38300,38400,32
